
1656774610.4375145:
array size Odd-Even Sort time     Heap Sort time
       800           0.124106           0.006002
       850           0.131001           0.007010
       900           0.211007           0.007995
       950           0.167976           0.007011
      1000           0.169035           0.009000

1656800047.4782658:
array size Odd-Even Sort time     Heap Sort time
        50           0.001000           0.000000
       100           0.001999           0.001001
       150           0.003999           0.001000
       200           0.006999           0.001000
       250           0.011999           0.001001
       300           0.015997           0.002000
       350           0.024001           0.003001
       400           0.031033           0.003001
       450           0.035964           0.003000
       500           0.047001           0.004000
       550           0.055037           0.003995
       600           0.064968           0.005035
       650           0.077016           0.004950
       700           0.100001           0.006000
       750           0.106000           0.006034
       800           0.114965           0.006035
       850           0.130048           0.006965
       900           0.145034           0.006965
       950           0.168999           0.008000
      1000           0.197259           0.009010
