array size,Odd-Even Sort time,Heap Sort time
50,0.001001119613647461,0.0
100,0.0019981861114501953,0.0
150,0.00400090217590332,0.001001119613647461
200,0.007999420166015625,0.0009996891021728516
250,0.01100015640258789,0.0009987354278564453
300,0.016002178192138672,0.0019989013671875
350,0.02300119400024414,0.0019989013671875
400,0.028998613357543945,0.003000020980834961
450,0.0420382022857666,0.00299835205078125
500,0.04496407508850098,0.004002809524536133
550,0.052045583724975586,0.0039789676666259766
600,0.06397342681884766,0.005002021789550781
650,0.07599902153015137,0.005032777786254883
700,0.09004426002502441,0.005999088287353516
750,0.09964847564697266,0.006022214889526367
800,0.12410569190979004,0.006002187728881836
850,0.13100051879882812,0.007009744644165039
900,0.21100664138793945,0.007994651794433594
950,0.16797590255737305,0.007010936737060547
1000,0.1690351963043213,0.009000062942504883
